Farmer_ID,Age,Village,Education_Level,Farming_Experience_Years,Land_Holding_Acres,Farming_Type,Main_Crop,Irrigation,Annual_Production_Qtl,Aware_of_Modern_Technology,Awareness_of_Type_of_Modern_Technology,Technology_Information_Source,Uses_Modern_Tech,Type_of_Modern_Technology_Used,Technology_Affordable,Production_Increased_After_Technology,Profit_Increased_In_%,Involved_in_Agribusiness_Activity,Activity_Type,Income_Increased,Willing_to_Start_Agribusiness,Preferred_Agribusiness_Type,Major_Problem,Government_Assistance,Reason_for_Not_Adopting,Support_Needed
F001,47,Manakpura,Graduate,28,7.5,Mixed Crop,"Wheat,Gram,Corn,Soyabean",Well,110,Yes,"Sprinkler & Drip Irrigation,Solar System,Tractor",TV & Social Media,No,,Yes,,,No,,,Yes,Aeroponics,Water Shortage,No,Lack of Awareness & Training,Training
F002,60,Manakpura,Illiterate,48,4,Mixed Crop,"Wheat,Gram,Corn,Soyabean",Well,75,No,,,No,,No,,,No,,,Yes,Vertical Farming,Water Shortage,No,Lack of Awareness & Training,Subsidy & Training
F003,33,Lalpur,Matriculation,15,2.5,Mixed Crop,"Wheat,Gram,Corn,Soyabean",Well,55,Yes,"Sprinkler & Drip Irrigation,Solar System,Tractor",Social Media,Yes,"Solar System,Tractor",Yes,No,0,No,,,Yes,Aeroponics,Low Yield,Yes,Lack of Awareness & Training,
F004,34,Chopna,Graduate,15,8,Mixed Crop,"Wheat,Gram,Corn,Soyabean,Vegetables",Well & River,190,Yes,,Social Media,No,,No,,,Yes,Vegetable Farming,Yes,Yes,Mushroom & Vertical Farming,Market Support,No,Lack of Training & Resourses,
F005,30,Chopna,Graduate,12,3.5,Mixed Crop,"Wheat,Coriander,Corn,Soyabean",River,82,No,,,No,,Yes,,,No,,,Yes,Hydroponics,Low Yield,No,Lack of Awareness,Subsidy & Training
F006,30,Chopna,Matriculation,10,1.5,Mixed Crop,"Wheat,Soyabean,Green Gram",Well,30,No,,,No,,No,,,No,,,Yes,Poultry Farming,Small Land,No,Money,Subsidy & Training
F007,30,Chopna,Matriculation,12,3.1,Mixed Crop,"Wheat,Soyabean,Green Gram",Well,60,No,,,No,,No,,,No,,,Yes,Vertical Farming,Low Yield,No,Risk,Market Support
F008,36,Chopna,Middle School,15,3,Mixed Crop,"Wheat,Gram,Soyabean,Corn,Green Gram",Well,58,No,,,No,,No,,,No,,,Yes,Mushroom,Low Yield,No,Lack of Awareness,Subsidy & Training
F009,70,Chopna,Middle School,56,1,Mixed Crop,"Wheat,Soyabean,Green Gram",Well,24,No,,,No,,No,,,No,,,No,,Aged Person,No,No Need,
F010,42,Jalalpura,High School,20,5,Mixed Crop,"Wheat,Corn,Sorghum,Gram,Mustard",Well,85,Yes,"Sprinkler Irrigation,Solar System,Tractor",Social Media,No,,Yes,,,No,,,Yes,Vertical Farming & Fishery,Low Yield,No,Money,Subsidy
F011,56,Jalalpura,Middle School,42,4.5,Mixed Crop,"Wheat,Corn,Sorghum,Gram",Well,60,Yes,"Sprinkler Irrigation,Solar System,Tractor",Farmer,No,,No,,,No,,,Yes,Vertical Farming & Fishery,Low Yield,No,Lack of Awareness,Subsidy & Training
F012,39,Jalalpura,Matriculation,25,3.2,Mixed Crop,"Wheat,Gram,Corn,Vegetables,Mustard",Well & River,60,Yes,"Solar System,Tractor",Social Media,Yes,Solar System,Yes,Yes,10,Yes,Vegetable Farming,Yes,Yes,Vertical Farming,Money,No,Money,Subsidy & Training
F013,42,Jalalpura,Middle School,25,3.75,Mixed Crop,"Wheat,Corn,Coriander,Gram,Mustard",Well,65,No,,,No,,Yes,,,No,,,Yes,Mushroom & Vertical Farming,Money,No,Lack of Awareness,Subsidy & Training
F014,52,Mau,High School,30,2.5,Mixed Crop,"Wheat,Soyabean, Gram",Well,40,No,,,No,,No,,,No,,,Yes,Aeroponics,Water Shortage,No,Lack of Awareness,Subsidy & Training
F015,45,Chopna,Illiterate,30,1,Mixed Crop,"Wheat,Soyabean",Well,27,No,,,No,,No,,,No,,,Yes,Vertical Farming,Small Land,No,Lack of Awareness,Subsidy & Training
F016,35,Mau,Illiterate,20,3.2,Mixed Crop,"Wheat,Soyabean, Coriander",Well,60,No,,,No,,No,,,No,,,Yes,Mushroom,Money,No,Lack of Awareness,Subsidy & Training
F017,40,Chopna,Middle School,28,12.5,Mixed Crop,"Wheat,Gram,Corn,Soyabean,Coriander,Mustard",Well,280,No,,,No,,Yes,,,No,,,Yes,Vegetable Farming,Water Shortage,No,Lack of Awareness,Market Support
